objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Cosmic Encounter: Cosmic Eons","206366","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","110208892","6.13677","8.33365","3.25","0","4215","thing","Cosmic Encounter: Cosmic Eons","3","8","120","120","60","2016","4,5,6,7","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Cosmic Encounter: Cosmic Incursion","61001","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","110208894","7.17686","8.21974","2.6852","0","13512","thing","Cosmic Encounter: Cosmic Incursion","3","6","60","60","60","2010","4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Cosmic Encounter: Cosmic Storm","143760","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125213023","6.32942","7.96656","3.0952","0","5754","thing","Cosmic Encounter: Cosmic Storm","3","8","60","60","60","2013","4,5,6,7","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Coup","131357","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31395455","6.8344","6.97742","1.4106","696","88484","thing","Coup","2","6","15","15","15","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Courtisans","402283","0","0","0","0","0","0","0","0","0","0","1","3","english","","","","","125681881","6.44918","7.27165","1.3243","1399","5647","thing","Courtisans","2","5","30","30","20","2024","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Crash Octopus","319579","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121592621","6.00738","6.95195","1.3571","3022","2513","thing","Crash Octopus","1","5","30","30","20","2021","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"The Crew: The Quest for Planet Nine","284083","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640958","7.63261","7.77252","1.9575","85","88263","thing","The Crew: The Quest for Planet Nine","2","5","20","20","20","2019","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Critters at War: Flies, Lies & Supplies","358981","0","0","0","1","0","0","0","0","0","0","0","2","Critters at War: Flies, Lies & Supplies","","","","","128915678","6.36077","7.80402","1.8125","1626","4806","thing","Air, Land, & Sea: Spies, Lies, & Supplies","2","4","30","30","15","2022","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Arcane Wonders","English","2022","English edition"
"Cthulhu: Dark Providence","404509","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","112364010","0","6.2","3.3333","0","80","thing","Cthulhu: Dark Providence","1","5","120","120","90","2025","","","","","","","","","","standalone","","","","",""
"Cthulhu: Death May Die","253344","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","99312805","7.75515","8.18835","2.487","53","26180","thing","Cthulhu: Death May Die","1","5","120","120","90","2019","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Cuba Libre","111799","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129228951","6.82523","7.66323","3.6183","702","7502","thing","Cuba Libre","1","4","180","180","180","2013","1,2,3,4","4","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Cyberion","376893","0","0","0","0","0","0","0","0","0","0","0","4","","","","","","113798300","6.08183","7.95183","1.8519","2660","2455","thing","Cyberion","1","2","40","40","20","2023","1,2","1","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Cyclades: Legendary Edition","380619","0","0","0","0","0","0","0","0","0","1","0","3","","","","","","121196793","6.5592","8.1858","2.8939","1150","4513","thing","Cyclades: Legendary Edition","2","6","90","90","60","2024","3,4,5,6","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Detective: A Modern Crime Board Game","223321","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","98908421","7.18404","7.62384","2.7415","309","23804","thing","Detective: A Modern Crime Board Game","1","5","180","180","120","2018","1,2,3,4","2","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Diamant","15512","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124696287","6.70632","6.84463","1.1171","880","30946","thing","Diamant","3","8","40","40","20","2024","3,4,5,6,7,8","6,7,8","6+","No necessary in-game text","","","","","","standalone","","IELLO","English","2024","IELLO English edition 2024"
"A Distant Plain","127518","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132127360","6.50493","7.80176","3.8874","1270","4596","thing","A Distant Plain","1","4","300","300","180","2016","1,2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","GMT Games","English","2016","English edition, second printing"
"Dixit","39856","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","112102412","7.07417","7.1897","1.1925","413","103045","thing","Dixit","3","8","30","30","30","2008","4,5,6,7,8","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Dixit: Memories","174090","0","0","0","1","0","0","0","0","0","0","0","4","","","","","","112210737","6.68618","7.86644","1.1628","0","9022","thing","Dixit: Memories","3","6","30","30","30","2015","4,5,6","6","6+","No necessary in-game text","","","","","","expansion","","","","",""
"Dixit: Quest","55660","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","126889568","7.11401","7.6663","1.2187","0","18174","thing","Dixit: Quest","3","6","30","30","30","2010","4,5,6","5,6","8+","No necessary in-game text","","","","","","expansion","","","","",""
"Dogs of War","158435","0","0","0","0","0","0","0","0","0","0","1","3","2nd edition","","","","","126344424","6.71807","7.52413","2.6557","861","4488","thing","Dogs of War","3","5","75","75","75","2014","4,5","5","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dominant Species","62219","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133559510","7.56144","7.80385","4.0415","108","24208","thing","Dominant Species","2","6","240","240","120","2018","3,4,5,6","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","GMT Games","English","2018","English second edition, third printing"
"Dominant Species: Marine","262941","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","129041165","6.79137","7.89325","3.6933","746","5131","thing","Dominant Species: Marine","2","4","150","150","90","2021","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"DOOM: The Board Game","205317","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","99597680","6.30949","7.37221","2.9833","1765","5159","thing","DOOM: The Board Game","2","5","180","180","120","2016","3,4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Dracula vs Van Helsing","381278","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","128957778","6.42272","7.38602","1.7429","1470","4267","thing","Dracula vs Van Helsing","2","2","45","45","20","2023","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Dune: Imperium","316554","0","0","0","1","0","0","0","0","0","0","0","4","","","","","","98878030","8.22469","8.41752","3.067","6","72320","thing","Dune: Imperium","1","4","120","120","60","2020","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dune: Imperium – Immortality","367466","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107248033","7.47234","8.56259","3.3444","0","17407","thing","Dune: Imperium – Immortality","1","4","120","120","60","2022","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Dune: Imperium – Rise of Ix","342031","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107248031","8.07615","8.80721","3.2143","0","26785","thing","Dune: Imperium – Rise of Ix","1","4","120","120","60","2022","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Dungeon Petz","97207","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","113168723","7.12649","7.38706","3.6309","355","20541","thing","Dungeon Petz","2","4","90","90","90","2011","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Dungeon Petz: Dark Alleys","143061","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","115399530","6.22095","7.75733","3.7647","0","5139","thing","Dungeon Petz: Dark Alleys","2","4","120","120","90","2013","2,3,4","4","12+","No necessary in-game text","","","","","","expansion","","","","",""
"Earth","350184","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","111744958","7.35802","7.63625","2.901","201","30946","thing","Earth","1","5","90","90","45","2023","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Elder Sign","100423","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640669","6.7817","6.96772","2.3453","763","43347","thing","Elder Sign","1","8","90","90","90","2011","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Elder Sign: Gates of Arkham","166679","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640671","6.72023","7.77339","2.5921","0","10546","thing","Elder Sign: Gates of Arkham","1","8","90","90","90","2015","1,2,3,4","2,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Elder Sign: Grave Consequences","198045","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640683","5.81496","7.33085","2.6667","0","3556","thing","Elder Sign: Grave Consequences","1","8","90","90","90","2016","1,2,3,4","1","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Elder Sign: Omens of Ice","189807","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640676","6.19339","7.63854","2.6667","0","6318","thing","Elder Sign: Omens of Ice","1","8","90","90","60","2016","1,2,3,4","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Elder Sign: Omens of the Deep","212572","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640678","6.07987","7.77466","2.9091","0","5250","thing","Elder Sign: Omens of the Deep","1","8","90","90","90","2017","1,2,3,4","1,2,3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Elder Sign: Omens of the Pharaoh","237226","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640680","6.03661","7.95169","3.3","0","4762","thing","Elder Sign: Omens of the Pharaoh","1","8","120","120","60","2018","1,2,3,4","1,2","14+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Elder Sign: Unseen Forces","137479","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640673","6.81506","7.6397","2.4245","0","13424","thing","Elder Sign: Unseen Forces","1","8","90","90","90","2013","1,2,3,4","1,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Eldritch Horror","146021","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640686","7.49761","7.74474","3.3194","132","58285","thing","Eldritch Horror","1","8","240","240","120","2013","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Eldritch Horror: Cities in Ruin","220913","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640709","6.84734","8.48068","3.0909","0","10723","thing","Eldritch Horror: Cities in Ruin","1","8","240","240","120","2017","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Eldritch Horror: Forsaken Lore","154842","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640691","7.51773","8.301","3.1684","0","23539","thing","Eldritch Horror: Forsaken Lore","1","8","180","180","180","2014","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Eldritch Horror: Masks of Nyarlathotep","236930","0","0","0","1","0","0","0","0","0","0","0","4","","","","","","98877281","6.37334","8.17462","3","0","7222","thing","Eldritch Horror: Masks of Nyarlathotep","1","8","240","240","120","2018","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Eldritch Horror: Mountains of Madness","164167","0","0","0","1","0","0","0","0","0","0","0","2","english","","","","","98877272","7.10701","8.22066","3.25","0","15222","thing","Eldritch Horror: Mountains of Madness","1","8","180","180","180","2014","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Eldritch Horror: Signs of Carcosa","197586","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640704","6.88163","8.33145","3.1786","0","11862","thing","Eldritch Horror: Signs of Carcosa","1","8","240","240","120","2016","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Eldritch Horror: Strange Remnants","177182","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640697","7.14472","8.31587","3.1343","0","15104","thing","Eldritch Horror: Strange Remnants","1","8","240","240","120","2015","1,2,3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Eldritch Horror: The Dreamlands","209686","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640706","6.69196","8.44917","3.2174","0","9368","thing","Eldritch Horror: The Dreamlands","1","8","240","240","120","2017","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Eldritch Horror: Under the Pyramids","181817","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640701","6.92398","8.38126","3.119","0","11880","thing","Eldritch Horror: Under the Pyramids","1","8","180","0","180","2015","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Endless Winter: Paleoamericans","305096","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","98880520","7.18533","7.66107","3.3153","306","17292","thing","Endless Winter: Paleoamericans","1","4","120","120","60","2022","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Escape Tales: The Awakening","253214","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","124371771","6.32939","7.0061","2.1311","1710","5550","thing","Escape Tales: The Awakening","1","4","360","360","180","2018","1,2,3","2","14+","Unplayable in another language","","","","","","standalone","","","","",""
"Ethnos","206718","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","124339764","7.17002","7.45779","2.1097","324","16413","thing","Ethnos","2","6","60","60","45","2017","2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Evacuation","382843","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","112412844","6.68071","7.55495","3.9729","920","6314","thing","Evacuation","1","4","150","150","60","2023","1,2,3,4","2,3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"EXIT: The Game – The Forgotten Island","215841","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","116789772","6.36158","6.87357","2.6111","1623","7537","thing","EXIT: The Game – The Forgotten Island","1","4","90","90","45","2017","1,2,3","2","12+","Unplayable in another language","","","","","","standalone","","","","",""
"EXIT: The Game – The Sinister Mansion","226520","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","113168740","6.45858","7.2373","2.4634","1375","5693","thing","EXIT: The Game – The Sinister Mansion","1","4","90","90","45","2018","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Expeditions","379078","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","112102842","7.08646","7.64938","3.0533","399","14424","thing","Expeditions","1","5","90","90","60","2023","1,2,3","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Expeditions: Gears of Corruption","421689","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","124696332","6.23667","8.36277","3.1875","0","4138","thing","Expeditions: Gears of Corruption","1","6","90","90","60","2024","1,2,3,4","3","","","","","","","","expansion","","","","",""
"A Fake Artist Goes to New York","135779","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","122753315","6.80055","7.11939","1.1018","730","18702","thing","A Fake Artist Goes to New York","5","10","20","20","20","2011","5,6,7,8,9,10","6,7","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Falling Sky: The Gallic Revolt Against Caesar","163154","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","128922893","6.50317","7.77879","3.9846","1274","4646","thing","Falling Sky: The Gallic Revolt Against Caesar","1","4","360","360","180","2018","1,2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","GMT Games","English","2018","English edition, second printing"
"Falling Sky: The Gallic Revolt Against Caesar – Ariovistus","209343","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","129384142","5.66073","7.89455","4","0","1501","thing","Falling Sky: The Gallic Revolt Against Caesar – Ariovistus","1","4","0","0","0","2018","1,2,3,4","1,2,4","16+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Feed the Kraken","271601","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","120747566","7.00848","7.79909","2.145","472","8056","thing","Feed the Kraken","5","11","90","90","45","2022","6,7,8,9,10,11","8,9,10,11","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Funtails; SPIEL INSTABIL","English; German","2022","English/German deluxe edition"
"The Fellowship of the Ring: Trick-Taking Game","429293","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133668395","7.14935","7.97514","1.9643","335","13669","thing","The Fellowship of the Ring: Trick-Taking Game","1","4","20","20","20","2024","1,2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Office Dog","English","2024","English edition"
"Fields of Arle","159675","0","0","0","0","0","0","0","0","0","0","1","3","english","","","","","115428449","7.60221","8.03014","3.8463","95","18051","thing","Fields of Arle","1","2","120","120","60","2014","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Fields of Arle: Big Box","393531","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","125181926","5.65581","8.26289","3.8","0","495","thing","Fields of Arle: Big Box","1","3","120","120","60","2019","1,2,3","2,3","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Fire in the Lake","144189","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129041190","6.94868","8.06695","4.1705","547","7996","thing","Fire in the Lake","1","4","180","180","180","2022","1,2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","GMT Games","English","2022","English edition, third printing"
"Fire in the Lake: Fall of Saigon","286415","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129634663","5.64532","8.31669","4","0","1508","thing","Fire in the Lake: Fall of Saigon","1","4","0","0","0","2022","1,2,3,4","4","16+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Fire in the Lake: Sovereign of Discord","355443","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","130929610","5.59632","8.41889","3.5","0","935","thing","Fire in the Lake: Sovereign of Discord","1","4","180","180","60","2023","1,2,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","GMT Games","English","2023","English edition"
"Fire in the Lake: Tru'ng Bot Update Pack","307176","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129634682","5.65831","8.08982","4.0909","0","1619","thing","Fire in the Lake: Tru'ng Bot Update Pack","1","1","0","0","0","2020","1","1","14+","","","","","","","expansion","","","","",""
"Five Tribes: The Artisans of Naqala","176677","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","121436786","7.17235","8.11849","2.7941","0","15198","thing","Five Tribes: The Artisans of Naqala","2","4","80","80","40","2015","2,3,4","3","12+","No necessary in-game text","","","","","","expansion","","","","",""
"Five Tribes: The Djinns of Naqala","157354","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","121436782","7.61491","7.76745","2.8392","91","57739","thing","Five Tribes: The Djinns of Naqala","2","4","80","80","40","2014","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Five Tribes: Whims of the Sultan","226828","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","121436791","6.53546","7.9599","2.875","0","8626","thing","Five Tribes: Whims of the Sultan","2","5","90","90","40","2017","2,3,4","2,3","12+","No necessary in-game text","","","","","","expansion","","","","",""
"Flee The Scene","68931","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","33118999","5.55496","6.61328","1.2857","12131","253","thing","Flee The Scene","2","5","40","40","20","2015","2,3,4","3","","No necessary in-game text","","","","","","standalone","","","","",""
"Flip 7","420087","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","134372463","6.80504","7.18578","1.0485","725","20208","thing","Flip 7","3","18","20","20","20","2024","3,4,5,6,7,8","5,6","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Food Chain Magnate","175914","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","110986884","7.78024","8.04268","4.1898","49","26737","thing","Food Chain Magnate","2","5","240","240","120","2015","2,3,4,5","3,4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"For the King (and Me)","333553","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","123253187","5.88099","6.87121","1.4138","3866","1662","thing","For the King (and Me)","2","5","30","30","30","2021","2,3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Friday","43570","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641467","6.93223","7.11357","2.153","565","40287","thing","Friday","1","1","25","25","25","2021","1","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Rio Grande Games","English","2021","English third edition"
"Fungi","122298","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","126889510","6.66087","6.98113","1.7363","957","18493","thing","Morels","2","2","30","30","30","2019","2","2","10+","No necessary in-game text","","","","","","standalone","","Pegasus Spiele; Two Lanterns Games","English; German","2019","English/German edition 2019"
"Fury of Dracula (Third/Fourth Edition)","181279","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641115","7.10741","7.40727","3.2823","376","25910","thing","Fury of Dracula (Third/Fourth Edition)","2","5","180","180","120","2015","2,3,4,5","3,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Galaxy Trucker (Second Edition)","336794","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109244382","6.87871","7.42254","2.2832","633","13810","thing","Galaxy Trucker (Second Edition)","2","4","30","30","20","2021","2,3,4","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Galaxy Trucker: Keep on Trucking","360232","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109244390","5.807","7.93686","2.7778","0","2325","thing","Galaxy Trucker: Keep on Trucking","2","4","60","60","30","2022","2,3,4","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Ganges","220877","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115484447","7.41927","7.72628","2.9006","159","20480","thing","Rajas of the Ganges","2","4","75","75","45","2018","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","Devir","Portuguese; Spanish","2018","Spanish/Portuguese edition"
"Gato na Caixa","345972","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","121546913","7.12792","7.47511","2.0421","352","22122","thing","Cat in the Box: Deluxe Edition","2","5","40","40","20","2023","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","Divercentro; Pegasus Spiele","Portuguese","2023","Divercentro Portuguese edition"
"General Orders: World War II","381435","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112103603","6.01778","7.42382","2.2222","2958","2108","thing","General Orders: World War II","2","2","30","30","30","2023","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"A Gest of Robin Hood","338376","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","127831025","6.36764","7.74527","3","1604","3162","thing","A Gest of Robin Hood","2","2","90","90","45","2025","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","GMT Games","English","2025","English edition, second printing"
"Ghost Stories","37046","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124417100","7.05614","7.26048","2.9048","430","28307","thing","Ghost Stories","1","4","60","60","60","2008","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Ghost Stories: Black Secret","95699","0","0","0","0","0","0","0","0","0","0","1","2","","","","","","124426512","5.88479","7.44333","3.1795","0","3555","thing","Ghost Stories: Black Secret","2","5","90","90","90","2011","2,3,4,5","5","12+","No necessary in-game text","","","","","","expansion","","","","",""
"Ghost Stories: Promo Pack","185242","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","124426508","5.56524","7.47235","2.75","0","583","thing","Ghost Stories: Promo Pack","1","4","60","0","60","2014","3,4","4","","No necessary in-game text","","","","","","expansion","","","","",""
"Ghost Stories: The Village People Expansion","59867","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","124426503","5.62681","7.07897","2.6429","0","1175","thing","Ghost Stories: The Village People Expansion","1","4","60","60","60","2009","1,2,3,4","4","12+","No necessary in-game text","","","","","","expansion","","","","",""
"Ghost Stories: White Moon","47616","0","0","0","0","0","0","0","0","0","0","1","2","","","","","","124426509","6.57996","7.83482","2.9565","0","7487","thing","Ghost Stories: White Moon","1","4","90","90","90","2009","1,2,3,4","4","14+","No necessary in-game text","","","","","","expansion","","","","",""
"Glass Road","143693","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","121605239","7.1099","7.41361","2.9547","370","15767","thing","Glass Road","1","4","80","80","20","2013","1,2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Gloomhaven","174430","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","109483734","8.31993","8.55754","3.9155","4","101807","thing","Gloomhaven","1","4","120","120","60","2017","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Gloomhaven: Buttons & Bugs","393672","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","126019218","6.5969","7.56675","3.2766","1066","12735","thing","Gloomhaven: Buttons & Bugs","1","1","20","20","20","2024","1","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Gloomhaven: Jaws of the Lion","291457","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","97641158","8.11936","8.38423","3.6374","12","83613","thing","Gloomhaven: Jaws of the Lion","1","4","120","120","30","2020","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Golem","298383","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","98877193","6.81229","7.52955","4.02","718","7895","thing","Golem","1","4","120","120","90","2021","1,2,3,4","2,3","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Le Grand Jeu","220","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128692947","6.96215","7.19101","1.4795","530","23039","thing","High Society","3","5","30","30","15","2019","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","Origames; Osprey Games","French","2019","Origames French edition"
"El Grande","93","0","0","0","0","0","0","0","0","0","0","1","2","new edition, english","","","","","110797964","7.58834","7.76527","2.9394","99","33207","thing","El Grande","2","5","120","120","60","1995","3,4,5","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
