objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Raiders of the North Sea: The Meeple Men Promo Card","247805","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641067","5.53695","7.74286","3","0","387","thing","Raiders of the North Sea: The Meeple Men Promo Card","2","4","120","120","60","2018","","","","","","","","","","expansion","","","","",""
"Raiders of the North Sea: The Mico Promo","236824","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641050","5.72773","7.78793","3","0","1677","thing","Raiders of the North Sea: The Mico Promo","2","4","80","80","60","2017","3,4","4","","","","","","","","expansion","","","","",""
"Raiders of the North Sea: The Old Heroes","342178","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641069","0","7.60526","3","0","126","thing","Raiders of the North Sea: The Old Heroes","1","6","80","80","60","2020","","","","","","","","","","expansion","","","","",""
"Raptor","177639","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124428222","6.89927","7.22462","2.0677","605","15812","thing","Raptor","2","2","30","30","30","2015","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Rebirth","417197","0","0","0","0","0","0","0","0","0","0","0","4","","","","","","117852890","6.75117","7.7651","2","807","5226","thing","Rebirth","2","4","60","60","45","2024","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"The Red Cathedral","227224","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641369","7.33277","7.67399","2.8194","212","26564","thing","The Red Cathedral","1","4","80","80","80","2020","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Red Dust Rebellion","322499","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129915938","5.8292","8.08862","4.2564","4313","1683","thing","Red Dust Rebellion","1","4","240","240","120","2024","1,2,3,4","4","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Regicide","307002","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","126408268","6.91792","7.40816","1.9622","587","12736","thing","Regicide","1","4","30","30","10","2022","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","Devir","Portuguese","2022","Portuguese edition"
"Res Arcana","262712","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107247987","7.40263","7.62694","2.6472","170","33216","thing","Res Arcana","2","4","60","60","30","2019","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Res Arcana: Lux et Tenebrae","288168","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107247991","7.05849","8.19873","2.7347","0","12788","thing","Res Arcana: Lux et Tenebrae","2","5","60","60","30","2019","2,3,4,5","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Res Arcana: Perlae Imperii","340375","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107247994","6.75579","8.31752","2.697","0","8896","thing","Res Arcana: Perlae Imperii","2","5","60","60","20","2021","2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Revive","332772","0","0","0","1","0","0","0","0","0","0","0","1","english","","","","","98877478","7.61387","8.09975","3.4495","92","16225","thing","Revive","1","4","120","120","90","2022","1,2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Revive: Call of the Abyss","385685","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","117980051","6.09412","8.31795","3.2941","0","3741","thing","Revive: Call of the Abyss","1","4","120","120","90","2023","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Rivals for Catan","66056","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641150","6.5669","6.93667","2.3222","1134","20301","thing","Rivals for Catan","2","2","60","60","45","2010","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Robinson Crusoe: Adventures on the Cursed Island","121921","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","123652066","7.55579","7.73131","3.8261","111","73694","thing","Robinson Crusoe: Adventures on the Cursed Island","1","4","120","120","60","2012","1,2,3,4","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Robinson Crusoe: Adventures on the Cursed Island – Treasure Chest","304337","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","124924410","6.04163","8.1131","3.4444","0","4957","thing","Robinson Crusoe: Adventures on the Cursed Island – Treasure Chest","1","4","120","120","60","2020","1,2,3,4","1,2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Rock Hard: 1977","402679","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","111333913","6.43577","7.52835","2.4918","1431","4366","thing","Rock Hard: 1977","2","5","90","90","45","2024","2,3,4,5","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Root","237182","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","109715490","7.88418","8.07006","3.8284","30","92784","thing","Root","2","4","90","90","60","2018","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Root: Landmarks Pack","334486","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","110193525","6.16955","7.96973","2.4286","0","7477","thing","Root: Landmarks Pack","2","4","90","90","60","2022","3,4","3,4","14","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Root: Marauder Hirelings Pack & Hireling Box","336276","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","110193521","6.38873","8.49478","3.7778","0","8670","thing","Root: Marauder Hirelings Pack & Hireling Box","2","4","90","90","60","2022","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Root: Riverfolk Hirelings Pack","334485","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","110193528","6.21615","8.35941","3.4286","0","7055","thing","Root: Riverfolk Hirelings Pack","2","4","90","90","60","2022","2,3,4","3","10+","","","","","","","expansion","","","","",""
"Root: The Clockwork Expansion","287220","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","110193514","6.64847","7.78111","3.9773","0","16117","thing","Root: The Clockwork Expansion","1","4","90","90","60","2020","1,2,3","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Root: The Clockwork Expansion 2","334483","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","110193523","5.9463","8.03686","3.6667","0","5697","thing","Root: The Clockwork Expansion 2","1","4","90","90","60","2022","1,2","1","","","","","","","","expansion","","","","",""
"Root: The Exiles and Partisans Deck","272638","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","110193517","7.28538","8.68529","3.84","0","17977","thing","Root: The Exiles and Partisans Deck","2","6","0","0","0","2020","2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Root: The Marauder Expansion","330149","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","110193513","7.34279","8.83166","3.9487","0","16772","thing","Root: The Marauder Expansion","2","6","90","90","60","2022","2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Root: The Riverfolk Expansion","241386","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","110193512","7.75665","8.42716","3.8741","0","36038","thing","Root: The Riverfolk Expansion","1","6","90","90","60","2018","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Root: The Underworld Expansion","272637","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","110193511","7.74145","8.71206","3.6322","0","26425","thing","Root: The Underworld Expansion","2","6","90","90","60","2020","3,4,5","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
